id,fecha,convocatoria,facultad,carrera,tipo_colegio,estado_pago,concepto,monto,paso_embudo
1005,2023-01-01 04:39:16,2023-I,Económicas,Contabilidad,Estatal,Validado,Inscripción,207.92,3
773,2023-01-01 07:50:57,2023-I,Agronomía,Agronomía,Estatal,Validado,Examen,155.2,2
807,2023-01-01 11:42:47,2023-I,Económicas,Administración,Privado,Pendiente,Otros,108.07,1
1690,2023-01-01 16:02:49,2023-I,Agronomía,Agronomía,Estatal,Validado,Examen,220.53,3
4197,2023-01-01 17:30:09,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,200.34,2
3758,2023-01-01 23:38:31,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Inscripción,222.25,3
1540,2023-01-02 06:04:19,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,218.68,2
4371,2023-01-02 07:02:10,2023-I,Agronomía,Agronomía,Estatal,Validado,Examen,216.9,3
2913,2023-01-02 08:31:00,2023-I,RRNN,Ing. RRNN,Privado,Observado,Examen,202.39,1
699,2023-01-02 09:38:37,2023-I,RRNN,Ing. Ambiental,Estatal,Validado,Examen,239.92,3
1292,2023-01-02 22:06:05,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Observado,Inscripción,249.24,1
688,2023-01-02 23:02:43,2023-I,Agronomía,Agronomía,Privado,Validado,Inscripción,200.25,2
2714,2023-01-03 08:38:32,2023-I,RRNN,Ing. Forestal,Privado,Validado,Examen,190.55,2
1036,2023-01-03 12:30:34,2023-I,Otras,Desarrollo Rural,Privado,Validado,Examen,239.03,3
1063,2023-01-03 18:32:31,2023-I,Otras,Desarrollo Rural,Privado,Validado,Inscripción,249.18,3
3460,2023-01-03 20:09:24,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,236.43,3
1445,2023-01-03 20:52:37,2023-I,RRNN,Ing. Ambiental,Estatal,Observado,Examen,240.09,1
4876,2023-01-04 16:21:33,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,230.45,2
4420,2023-01-05 05:46:01,2023-I,Económicas,Economía,Estatal,Validado,Examen,156.84,2
3832,2023-01-05 09:59:16,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,247.09,3
1646,2023-01-05 12:23:52,2023-I,Agronomía,Agronomía,Estatal,Pendiente,Inscripción,256.83,1
2824,2023-01-06 00:05:26,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Inscripción,259.38,3
1155,2023-01-06 07:33:00,2023-I,RRNN,Ing. Ambiental,Privado,Validado,Otros,143.12,2
588,2023-01-06 08:15:49,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Matrícula,496.29,3
3068,2023-01-06 11:12:58,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,211.07,2
4742,2023-01-06 11:28:02,2023-I,Otras,Desarrollo Rural,Privado,Validado,Inscripción,206.84,3
342,2023-01-06 14:07:26,2023-I,Zootecnia,Zootecnia,Privado,Observado,Constancias,74.36,1
838,2023-01-06 14:22:56,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,286.6,3
3821,2023-01-06 15:30:06,2023-I,Zootecnia,Zootecnia,Estatal,Observado,Inscripción,202.21,1
2659,2023-01-06 16:20:32,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Inscripción,247.79,3
1356,2023-01-07 04:14:38,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Examen,212.11,2
3603,2023-01-07 04:19:34,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,234.14,2
4623,2023-01-07 14:31:48,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Validado,Inscripción,255.28,3
513,2023-01-08 03:06:47,2023-I,Agronomía,Agronomía,Estatal,Observado,Examen,225.04,1
985,2023-01-08 10:28:29,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Examen,240.02,3
1305,2023-01-08 12:00:40,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Inscripción,264.73,3
3760,2023-01-08 18:32:45,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,294.47,2
1226,2023-01-08 21:12:38,2023-I,Económicas,Contabilidad,Estatal,Pendiente,Examen,203.28,1
2581,2023-01-08 21:49:16,2023-I,Zootecnia,Zootecnia,Estatal,Pendiente,Constancias,68.81,1
3288,2023-01-09 02:37:30,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Constancias,48.1,2
4097,2023-01-09 04:19:18,2023-I,Agronomía,Agronomía,Privado,Validado,Inscripción,251.78,3
1058,2023-01-09 13:47:10,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,289.23,3
282,2023-01-09 20:45:21,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Matrícula,417.33,3
2255,2023-01-09 23:59:26,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Otros,61.8,3
